supplier_id,supplier_name,lead_time_days,contact_info,rating
296,martinez_bowen_and_kim,3,(058)312-9345,4.34
297,jones_taylor_and_deleon,2,001-537-414-8996x593,4.26
298,morales_french_and_webb,4,537-603-6120x60973,4.72
299,miller_oliver_and_weaver,6,001-767-269-3809x612,3.92
300,garcia_elliott,8,001-738-646-7095x382,3.39
301,howard_and_sons,5,+1-284-339-4646x937,3.99
302,rogers_smith,12,6802400557,3.37
303,mccoy_malone,12,241-150-9289x82527,4.46
304,schneider_blankenship,10,3243900493,4.0
305,morales_ltd,9,647.496.3964x1981,4.15
306,bender_le,4,023-687-4116,3.1
307,joseph_inc,10,347.374.6957,3.64
308,sanders_brown,11,522-305-5948,4.85
309,lopez_plc,8,+1-010-719-2856x7881,4.82
310,moore_ramirez,11,+1-909-341-1169,4.87
311,roberts_diaz_and_king,2,207.827.1349x23934,4.8
312,jacobson_vargas_and_jones,2,508.706.9026x24192,3.43
313,west_harris,4,001-901-672-9598x46922,4.5
314,santos_knight_and_bailey,5,694-754-5587x053,4.28
315,williams_ltd,11,510-675-6676,3.74
316,rivera_pollard,7,007.341.5587,4.25
317,kaiser_moore_and_johnson,7,+1-725-434-8263,4.15
318,wright_santana_and_miller,4,(901)815-1337x151,3.54
319,kelly_morrison,2,+1-965-102-0944,3.62
320,rodriguez_plc,12,(311)305-3779x376,4.4
321,quinn_johnson,11,(584)326-6646x8120,4.2
322,sanchez_nguyen,4,354-842-7065,4.92
323,jackson_shaw_and_rios,8,(331)618-2160,4.3
324,long_group,12,001-967-218-4782x097,3.71
325,garcia_lozano_and_clark,3,001-006-242-2171x08025,4.18
326,rice_hull,2,671.952.8789x75654,3.44
327,foster_mcgrath,10,+1-066-246-2358,4.39
328,mullins_robles,10,+1-296-900-6849,3.75
329,walsh_moody,3,001-370-947-5384x19376,4.47
330,guerra_llc,11,886.088.9311,4.97
331,wood_bradley,8,9878029183,3.05
332,davidson_weiss_and_noble,13,001-776-057-2245x5261,3.11
333,jackson_and_sons,10,989-097-4067x379,4.89
334,williams_meyer_and_smith,9,975.635.7927,3.72
335,jones_gordon_and_moore,9,091-449-7431,3.82
336,martin_parks_and_watson,7,+1-577-498-8216x518,3.66
337,jones_llc,7,(024)719-5139,3.32
338,duncan_hawkins,12,(381)642-1982x60002,3.86
339,hayes_pacheco,3,550.249.2541x2527,4.63
340,richardson_waters_and_newton,14,581.452.0196x76330,4.04
341,lindsey_ltd,2,001-990-025-5871,3.53
342,robinson_martin_and_martinez,2,630-671-1162,4.12
343,wilson_inc,4,920-930-8084,4.11
344,perkins_and_sons,9,(262)297-4136,4.73
345,nolan_inc,5,3555332579,4.58
346,chen_olson,11,(516)830-4482,3.16
347,clark_pennington_and_quinn,10,602.288.2226x3508,4.35
348,wang_llc,7,+1-449-511-5215x95039,4.99
349,farmer_bautista,7,001-178-359-0430x009,3.96
350,ayers_lewis_and_vazquez,5,001-757-072-5592x568,4.1
351,jenkins_brown_and_riley,9,001-135-097-6257x869,3.72
352,estrada_johns_and_cohen,6,+1-660-929-6752x541,4.04
353,parker_wells_and_gibson,10,4895343724,4.2
354,rodriguez_dean_and_ibarra,8,263.496.2227x189,3.33
355,ferguson_plc,14,9691094205,3.83
356,edwards_stanton,12,(490)859-5906x5581,3.26
357,garcia_lynch_and_moore,2,824.437.6422x305,4.12
358,wilson_brown,10,408-890-7444,3.14
359,hill_walker_and_carrillo,11,010.822.7575,4.64
360,carroll_chase_and_acevedo,4,+1-690-376-8539x77044,3.46
361,anderson_white_and_soto,13,6183789470,4.18
362,ortega_smith,2,(604)215-2029,3.71
363,hancock_green_and_calderon,3,275.894.3192,4.12
364,rodriguez_meyer_and_lindsey,13,(017)053-1289x1051,3.26
365,ruiz_barrett,5,971-979-4272x86498,3.11
366,kennedy_ltd,11,0294281516,3.47
367,smith_llc,9,134-828-9744x885,3.47
368,moore_weber,12,299-762-2335,3.05
369,jones_harrell_and_santana,12,6407944631,4.29
370,rose_reyes_and_warner,6,001-181-079-1321x672,4.62
371,payne_bryant,4,001-204-836-1440x7133,3.66
372,walton_lane_and_johnson,5,(583)426-4610x8030,3.65
373,ford_morrison,13,5907598453,3.93
374,romero_armstrong,2,(824)552-6634,4.81
375,perez_shelton,5,081.998.6773x75408,3.24
376,kennedy_inc,11,970-410-9556x1147,3.83
377,saunders_cole_and_obrien,3,001-727-510-4279,3.93
378,williams_plc,13,911-747-3802x15728,3.09
379,perry_group,8,546.209.4806,5.0
380,carter_sellers_and_mason,13,(215)496-6200x32709,4.03
381,keller_butler,7,753-922-7011,3.32
382,garcia_and_sons,2,726.587.3247x399,3.92
383,whitaker_llc,9,+1-616-390-2803,4.55
384,maxwell_and_sons,3,057.970.7241,3.23
385,davidson_robinson,13,0207868951,3.99
386,quinn_and_sons,10,001-007-874-6292x435,3.63
387,miller_ltd,3,095-753-5923,4.88
388,fernandez_ltd,11,(703)984-3572x358,3.34
389,romero_brown,12,(590)339-7238,4.09
390,copeland_simpson,11,+1-218-089-7428,4.47
391,fischer_sullivan_and_brown,9,(001)756-2546x73736,3.23
392,smith_and_sons,4,(671)270-1964x817,3.73
393,chambers_plc,10,622.273.7027x8824,3.28
394,thomas_morales,10,652-392-4812x1408,4.27
395,king_cooper_and_valencia,5,858.814.9951x815,3.04
396,simmons_ltd,13,+1-827-945-6357x4515,3.07
397,ramsey_plc,8,458.910.5365x196,4.6
398,jordan_evans_and_arnold,3,+1-346-939-5341x1547,4.58
399,gardner_vaughan_and_wilson,10,001-251-330-3860x60850,4.97
400,thomas_anderson_and_simmons,12,+1-655-229-8114,4.94
401,taylor_inc,8,(339)839-3558x1721,3.62
402,martin_koch_and_rangel,2,(373)003-5229,3.74
403,williams_inc,5,+1-729-056-1940x530,4.99
404,yang_berry_and_wright,13,000-148-5177x9053,4.29
405,bates_group,8,376.640.0930,4.73
406,solomon_davis_and_patterson,6,639.522.1569x967,4.31
407,phillips_heath_and_peterson,7,738-554-5541,3.8
408,johnson_plc,3,(034)454-0033x9538,3.65
409,johnson_maynard,10,995.714.1236x5243,3.6
410,smith_miller,5,+1-062-145-8404,4.73
411,arias_young,7,001-891-678-2354,3.98
412,wiggins_graves_and_wagner,11,+1-830-304-2608x795,3.03
413,fields_cook,14,(363)061-8154x92354,4.92
414,jones_norman,5,(100)791-7367,4.38
415,williams_burton_and_mccullough,9,001-890-109-7404x922,3.23
416,silva_watkins,4,919-576-4890x4342,3.94
417,hunter_townsend,7,(350)192-2790x824,3.28
418,cole_sanchez_and_ingram,8,(227)500-4341,4.59
419,lawrence_rios_and_brewer,5,108-824-1588,4.02
420,simpson_inc,13,001-425-514-6752x0692,4.65
421,owens_hall,2,(309)396-3811x3524,4.46
422,villanueva_hill,10,+1-517-217-4894x5659,4.5
423,guerrero_copeland_and_hancock,2,+1-382-537-7604x5566,4.53
424,brown_group,12,660-204-0345x6164,4.75
425,bryan_plc,11,(783)102-8909x534,3.75
426,potts_hart_and_thomas,11,001-539-459-5947x53731,3.43
427,mcneil_llc,10,+1-133-279-1111x06139,4.37
428,jones_long_and_beltran,4,001-130-906-9007,4.24
429,blair_jones_and_gomez,3,491-737-8144,3.57
430,hall_cruz,7,283-734-1155x6331,3.26
431,thomas_rivera_and_wilson,14,(017)006-9337,3.44
432,fields_inc,14,015-704-8887,3.77
433,moody_inc,8,101-433-2437x6677,4.39
434,shaw_inc,11,656.936.0108x7623,3.42
435,cooley_ltd,4,+1-895-071-4295,3.76
436,rogers_brown_and_dyer,10,(497)350-9304,4.97
437,randolph_medina,5,001-685-838-3856x6947,3.65
438,ayala_ball,10,628.259.5884x0243,4.46
439,garza_robinson_and_miller,7,112.441.1576x60969,4.8
440,huerta_gibbs,11,637.096.5577,3.9
441,dickerson_murphy,2,+1-572-263-2006,4.51
442,jenkins_warren_and_norman,3,195.887.6184x683,4.79
443,lucero_short,9,239-309-0477,4.13
444,hunt_llc,7,165.873.8411,4.01
445,peters_brown_and_baker,5,+1-524-589-7971x90149,4.19
446,wilkinson_brown_and_shaw,14,(340)754-8739,4.5
447,lopez_rojas,14,+1-256-613-5526x9624,3.82
448,patrick_inc,7,998-543-5884x266,4.99
449,crawford_plc,2,947.957.1238x3598,3.93
450,mcpherson_gray,13,9476026299,4.09
451,weber_maldonado_and_smith,8,001-065-089-0527x6251,4.33
452,marquez_ltd,4,724-142-5001,3.64
453,goodman_miranda_and_odonnell,12,077-357-0500,4.22
454,gardner_lewis,13,(014)444-9362x622,3.49
455,thompson_ltd,12,0406251252,3.65
456,wilcox_henry_and_acosta,12,483.917.1456x960,4.17
457,white_lewis_and_page,8,640-919-1051,4.24
458,myers_and_sons,8,224-630-0413x21523,3.18
459,thornton_bryant,10,001-211-817-9197x60930,4.1
460,jones_morris_and_sellers,4,094-720-6048x7249,3.03
461,oconnor_inc,5,059.690.9467x66020,3.34
462,joseph_kelley,13,+1-626-489-5513x28559,3.82
463,shannon_gregory,5,235-178-7960x790,4.71
464,flores_inc,13,+1-553-208-2633x345,4.05
465,stephens_ray_and_salinas,10,398-144-9645x98212,4.34
466,hall_roberson,6,755.804.7771,3.18
467,ayers_and_sons,8,(151)768-8075,4.91
468,glenn_vaughn,10,(920)345-7313x6224,3.72
469,brown_moody,10,9448915930,3.56
470,walker_plc,9,(562)665-9701x5259,3.37
471,torres_roy,12,(489)239-0451x7386,4.63
472,roberts_williams_and_booker,10,211.602.2397,3.48
473,jackson_black_and_rodriguez,10,(413)144-3968x3877,4.27
474,rogers_jones_and_nguyen,6,(154)778-0052,4.47
475,williams_turner,7,+1-107-435-3975x8870,4.7
476,baker_inc,6,001-276-249-2182x107,3.06
477,park_group,2,8051163835,4.64
478,schmitt_plc,14,001-165-567-1337x86474,3.78
479,hardin_ltd,8,+1-616-261-8006x93874,4.39
480,bird_llc,7,001-571-343-5651,3.5
481,nelson_mathis_and_haynes,2,+1-816-550-9917x72687,3.1
482,downs_and_sons,3,257-466-7239,4.11
483,andrews_lopez,6,001-020-745-4150x780,4.92
484,elliott_llc,9,+1-047-374-3095x89285,3.05
485,garcia_jones,9,(505)185-0869x01746,3.15
486,smith_plc,8,782.067.7860,3.07
487,dougherty_plc,8,910.849.9357x8325,3.31
488,williams_llc,10,001-996-658-7690,3.73
489,reed_david_and_pennington,2,872-191-0013x832,3.71
490,day_ltd,7,(546)970-5700x77054,4.05
491,torres_gross_and_marks,2,(365)452-1232,3.65
492,floyd_brooks_and_martin,11,8733638022,3.63
493,parker_berg_and_richardson,5,678.223.9113,3.28
494,mclaughlin_llc,9,152-658-6243x406,3.12
495,bennett_martinez,8,226.510.9354x43775,3.01
496,perez_llc,14,239.928.4041x99373,3.57
497,mckinney_herring_and_thompson,14,001-703-206-4922x0529,3.94
498,shepard_plc,5,066-927-6310x568,3.01
499,ramirez_taylor_and_david,6,354-130-7688x5289,3.4
500,wilkins_howell_and_mills,9,(387)631-2655,3.3
501,woods_brooks,13,001-016-082-8468x03229,3.35
502,williams_clark,10,2759357405,3.24
503,ross_buchanan,3,001-574-172-3716x79096,4.13
504,atkins_allen_and_tran,13,+1-794-742-0784x891,4.95
505,kirby_inc,4,+1-231-179-8241,3.86
506,moore_torres_and_reed,11,471-172-0159x72064,4.65
507,ryan_montgomery_and_wells,14,520.483.7806,3.48
508,martinez_taylor_and_king,10,001-325-498-4322x02310,3.64
509,castillo_klein,11,7201596760,4.0
510,castillo_conner,7,001-274-922-3866x69750,3.97
511,barnett_houston,6,(984)124-9610x69820,4.94
512,bright_hernandez_and_olson,14,+1-200-980-2329,4.97
513,cameron_plc,2,8190367617,3.97
514,burke_ltd,3,001-435-277-3250x4234,3.57
515,miller_group,14,357.179.2109,4.63
516,mejia_and_sons,9,(293)392-6602,4.77
517,lopez_and_sons,5,(183)285-5896x904,4.73
518,pineda_webb,8,+1-729-767-6766x59345,4.78
519,robles_group,3,+1-122-488-5694x99332,4.21
520,johnson_ingram_and_hill,2,616-721-1512,3.04
521,scott_wall_and_white,9,+1-407-525-1579x480,3.74
522,smith_mendez_and_baker,13,001-968-139-3991x17132,3.59
523,maldonado_ramirez_and_murphy,9,+1-473-806-3234x482,4.41
524,tran_bennett_and_potter,8,+1-708-444-0465x49255,4.89
