inventory_id,date,product_id,beginning_stock,received,sold,warehouse_location,ending_stock
139,2025-05-29 00:00:00-07:00,8994,71,1,2,south,70
140,2025-05-27 00:00:00-07:00,5875,89,12,12,west,89
141,2025-06-17 00:00:00-07:00,3369,63,4,7,north,60
142,2025-05-19 00:00:00-07:00,1932,68,1,11,east,58
143,2025-06-17 00:00:00-07:00,3349,98,3,11,north,90
144,2025-06-13 00:00:00-07:00,1412,9,10,12,north,7
145,2025-06-11 00:00:00-07:00,7522,46,2,10,north,38
146,2025-06-29 00:00:00-07:00,7463,26,13,8,south,31
147,2025-05-16 00:00:00-07:00,9685,31,16,6,north,41
148,2025-05-28 00:00:00-07:00,9540,53,9,14,east,48
149,2025-07-03 00:00:00-07:00,9657,16,10,12,west,14
150,2025-06-12 00:00:00-07:00,9249,66,0,4,north,62
151,2025-05-30 00:00:00-07:00,2310,59,16,8,south,67
152,2025-06-08 00:00:00-07:00,9819,71,1,13,east,59
153,2025-05-29 00:00:00-07:00,3018,55,11,14,east,52
154,2025-06-24 00:00:00-07:00,130,20,1,9,east,12
155,2025-05-23 00:00:00-07:00,3645,6,13,3,south,16
156,2025-06-08 00:00:00-07:00,4756,95,16,5,east,106
157,2025-07-05 00:00:00-07:00,7207,41,5,14,south,32
158,2025-05-21 00:00:00-07:00,9005,18,9,5,north,22
159,2025-06-27 00:00:00-07:00,5266,51,15,14,south,52
160,2025-06-21 00:00:00-07:00,2683,49,0,8,south,41
161,2025-07-03 00:00:00-07:00,2994,20,13,2,west,31
162,2025-05-20 00:00:00-07:00,3506,89,3,11,south,81
163,2025-06-12 00:00:00-07:00,8551,49,9,11,east,47
164,2025-06-13 00:00:00-07:00,7506,49,13,4,north,58
165,2025-05-23 00:00:00-07:00,5713,65,3,7,west,61
166,2025-05-11 00:00:00-07:00,643,26,16,9,west,33
167,2025-06-20 00:00:00-07:00,3474,54,18,2,south,70
168,2025-05-21 00:00:00-07:00,4807,86,7,11,north,82
169,2025-06-27 00:00:00-07:00,5150,59,1,9,,51
170,2025-05-09 00:00:00-07:00,1433,73,7,11,south,69
171,2025-05-28 00:00:00-07:00,5372,53,0,3,west,50
172,2025-06-11 00:00:00-07:00,7255,78,18,5,south,91
173,2025-05-18 00:00:00-07:00,569,36,5,7,west,34
174,2025-06-01 00:00:00-07:00,267,9,7,13,south,3
175,2025-05-22 00:00:00-07:00,4902,52,12,10,east,54
176,2025-06-27 00:00:00-07:00,293,87,13,14,,86
177,2025-05-22 00:00:00-07:00,8914,15,9,10,north,14
178,2025-05-28 00:00:00-07:00,730,70,7,10,north,67
179,2025-06-13 00:00:00-07:00,5808,68,3,7,east,64
180,2025-05-26 00:00:00-07:00,7858,41,13,8,north,46
181,2025-06-22 00:00:00-07:00,2758,75,2,4,west,73
182,2025-05-16 00:00:00-07:00,6011,26,0,8,west,18
183,2025-07-05 00:00:00-07:00,9159,0,4,11,west,0
184,2025-06-14 00:00:00-07:00,5453,7,17,12,north,12
185,2025-06-06 00:00:00-07:00,5088,45,17,3,east,59
186,2025-07-03 00:00:00-07:00,6076,27,1,11,north,17
187,2025-06-21 00:00:00-07:00,6114,53,11,2,north,62
188,2025-06-30 00:00:00-07:00,6735,85,1,1,north,85
189,2025-05-22 00:00:00-07:00,3377,79,8,13,west,74
190,2025-06-17 00:00:00-07:00,4180,14,16,14,north,16
191,2025-06-27 00:00:00-07:00,1426,74,6,3,south,77
192,2025-06-30 00:00:00-07:00,7589,43,2,5,south,40
193,2025-05-22 00:00:00-07:00,8874,68,14,13,south,69
194,2025-07-02 00:00:00-07:00,2525,25,7,8,south,24
195,2025-06-16 00:00:00-07:00,1365,36,12,1,east,47
196,2025-06-07 00:00:00-07:00,8702,6,1,5,north,2
197,2025-05-23 00:00:00-07:00,5695,84,6,4,south,86
198,2025-05-20 00:00:00-07:00,320,67,11,10,east,68
199,2025-05-16 00:00:00-07:00,9158,59,18,8,south,69
200,2025-05-18 00:00:00-07:00,3028,83,13,7,west,89
201,2025-05-13 00:00:00-07:00,5642,82,4,10,south,76
202,2025-07-05 00:00:00-07:00,6704,32,0,5,east,27
203,2025-05-15 00:00:00-07:00,7813,20,13,8,north,25
204,2025-06-14 00:00:00-07:00,952,19,3,6,west,16
205,2025-06-12 00:00:00-07:00,1944,72,14,13,west,73
206,2025-05-25 00:00:00-07:00,1011,48,5,8,east,45
207,2025-06-18 00:00:00-07:00,6867,84,7,2,west,89
208,2025-06-18 00:00:00-07:00,7440,51,18,6,north,63
209,2025-05-14 00:00:00-07:00,3036,32,1,14,east,19
210,2025-05-25 00:00:00-07:00,6443,25,15,5,west,35
211,2025-06-26 00:00:00-07:00,5594,84,7,1,east,90
212,2025-06-27 00:00:00-07:00,1201,81,10,1,south,90
213,2025-06-04 00:00:00-07:00,629,12,13,3,west,22
214,2025-06-24 00:00:00-07:00,9019,95,3,1,west,97
215,2025-06-30 00:00:00-07:00,2444,41,19,5,east,55
216,2025-05-27 00:00:00-07:00,4320,32,6,5,south,33
217,2025-06-24 00:00:00-07:00,8204,50,14,2,east,62
218,2025-06-09 00:00:00-07:00,48,44,17,2,south,59
219,2025-06-16 00:00:00-07:00,2310,72,19,0,west,91
220,2025-06-05 00:00:00-07:00,4944,26,13,1,north,38
221,2025-06-11 00:00:00-07:00,5752,31,4,4,north,31
222,2025-06-03 00:00:00-07:00,5297,26,15,7,west,34
223,2025-06-19 00:00:00-07:00,8356,86,12,8,west,90
224,2025-06-25 00:00:00-07:00,6333,38,18,5,north,51
225,2025-05-08 00:00:00-07:00,6466,78,17,4,east,91
226,2025-07-03 00:00:00-07:00,1120,15,2,10,west,7
227,2025-05-22 00:00:00-07:00,5955,63,14,12,north,65
228,2025-06-05 00:00:00-07:00,3868,48,15,3,west,60
229,2025-05-23 00:00:00-07:00,7000,51,0,2,south,49
230,2025-07-06 00:00:00-07:00,616,40,4,2,west,42
231,2025-07-01 00:00:00-07:00,7641,8,9,9,west,8
232,2025-05-26 00:00:00-07:00,4466,86,12,4,west,94
233,2025-06-11 00:00:00-07:00,202,56,0,5,east,51
234,2025-06-02 00:00:00-07:00,5257,40,13,7,west,46
235,2025-05-22 00:00:00-07:00,7534,21,5,7,west,19
236,2025-06-02 00:00:00-07:00,3063,9,12,11,south,10
237,2025-06-27 00:00:00-07:00,3976,77,3,11,east,69
238,2025-05-08 00:00:00-07:00,9283,33,12,1,east,44
239,2025-05-19 00:00:00-07:00,8524,58,15,10,south,63
240,2025-06-05 00:00:00-07:00,469,2,4,14,south,0
241,2025-06-16 00:00:00-07:00,9221,94,14,5,north,103
242,2025-05-26 00:00:00-07:00,5115,43,9,4,east,48
243,2025-06-18 00:00:00-07:00,508,6,4,0,west,10
244,2025-06-12 00:00:00-07:00,5049,97,5,11,west,91
245,2025-06-21 00:00:00-07:00,5524,17,13,9,north,21
246,2025-05-30 00:00:00-07:00,7331,67,6,12,north,61
247,2025-05-22 00:00:00-07:00,2448,66,2,13,north,55
248,2025-05-22 00:00:00-07:00,3966,31,0,8,west,23
249,2025-06-07 00:00:00-07:00,2966,8,8,7,south,9
250,2025-05-18 00:00:00-07:00,6773,91,1,11,west,81
251,2025-05-22 00:00:00-07:00,7340,77,1,9,south,69
252,2025-06-11 00:00:00-07:00,7195,51,5,5,north,51
253,2025-06-10 00:00:00-07:00,35,83,7,3,south,87
254,2025-06-20 00:00:00-07:00,8544,33,14,0,south,47
255,2025-06-12 00:00:00-07:00,5273,30,16,6,east,40
256,2025-07-03 00:00:00-07:00,1541,2,5,4,east,3
257,2025-05-24 00:00:00-07:00,7978,18,8,8,north,18
258,2025-05-12 00:00:00-07:00,7307,49,6,11,south,44
259,2025-07-06 00:00:00-07:00,2451,42,6,0,south,48
260,2025-07-05 00:00:00-07:00,2066,160,19,7,east,44
261,2025-05-29 00:00:00-07:00,1233,69,9,12,north,66
262,2025-05-10 00:00:00-07:00,9645,60,12,1,east,71
263,2025-06-03 00:00:00-07:00,8310,57,5,2,east,60
264,2025-05-18 00:00:00-07:00,7952,57,15,11,north,61
265,2025-07-01 00:00:00-07:00,949,84,4,14,north,74
266,2025-06-18 00:00:00-07:00,7414,30,1,14,east,17
267,2025-05-08 00:00:00-07:00,1202,13,11,13,south,11
268,2025-05-30 00:00:00-07:00,8386,60,16,8,south,68
269,2025-06-24 00:00:00-07:00,9775,59,11,13,west,57
270,2025-05-22 00:00:00-07:00,923,54,14,10,south,58
271,2025-07-05 00:00:00-07:00,1547,33,16,10,west,39
272,2025-05-24 00:00:00-07:00,2902,80,5,11,north,74
273,2025-06-07 00:00:00-07:00,7054,89,11,14,north,86
274,2025-05-15 00:00:00-07:00,2544,2,4,4,north,2
275,2025-07-03 00:00:00-07:00,8864,73,12,13,west,72
276,2025-06-18 00:00:00-07:00,4423,70,3,2,east,71
277,2025-07-06 00:00:00-07:00,2722,25,16,0,west,41
278,2025-05-19 00:00:00-07:00,2964,46,4,4,north,46
279,2025-06-28 00:00:00-07:00,4992,66,6,4,north,68
280,2025-07-05 00:00:00-07:00,5664,51,6,9,east,48
281,2025-06-16 00:00:00-07:00,4173,52,0,4,south,48
282,2025-06-05 00:00:00-07:00,1464,94,17,0,west,111
283,2025-06-25 00:00:00-07:00,8287,7,6,4,west,9
284,2025-05-24 00:00:00-07:00,4971,81,12,14,west,79
285,2025-05-20 00:00:00-07:00,6393,10,15,1,south,24
286,2025-06-20 00:00:00-07:00,7771,48,12,2,west,58
287,2025-07-01 00:00:00-07:00,6434,94,7,7,west,94
288,2025-05-23 00:00:00-07:00,6647,36,13,11,south,38
289,2025-06-15 00:00:00-07:00,5241,76,2,4,east,74
290,2025-07-02 00:00:00-07:00,9336,62,3,12,south,53
291,2025-06-07 00:00:00-07:00,9621,80,6,3,west,83
292,2025-05-09 00:00:00-07:00,7245,39,18,4,east,53
293,2025-06-26 00:00:00-07:00,5240,80,2,9,west,73
294,2025-05-21 00:00:00-07:00,9043,29,5,14,north,20
295,2025-05-28 00:00:00-07:00,6780,88,11,8,south,91
296,2025-06-04 00:00:00-07:00,2635,14,8,14,west,8
297,2025-06-30 00:00:00-07:00,2608,90,2,4,east,88
298,2025-05-15 00:00:00-07:00,4116,6,18,13,west,11
299,2025-06-20 00:00:00-07:00,1450,77,13,2,north,88
300,2025-05-26 00:00:00-07:00,2245,93,18,9,south,102
301,2025-05-25 00:00:00-07:00,8762,52,10,5,west,57
302,2025-06-15 00:00:00-07:00,3040,65,3,1,south,67
303,2025-06-25 00:00:00-07:00,3333,91,5,4,East,92
304,2025-05-17 00:00:00-07:00,2174,28,14,12,east,30
305,2025-06-07 00:00:00-07:00,589,93,16,12,east,97
306,2025-06-07 00:00:00-07:00,775,29,5,12,west,22
307,2025-06-11 00:00:00-07:00,8734,41,16,11,south,46
308,2025-05-08 00:00:00-07:00,1134,48,15,2,south,61
309,2025-05-18 00:00:00-07:00,2657,46,13,4,south,55
310,2025-05-19 00:00:00-07:00,3810,45,15,11,west,49
311,2025-05-21 00:00:00-07:00,7010,35,13,9,east,39
312,2025-06-12 00:00:00-07:00,5838,83,0,10,north,73
313,2025-06-16 00:00:00-07:00,5909,72,4,8,,68
314,2025-06-25 00:00:00-07:00,8825,51,12,2,,61
315,2025-06-07 00:00:00-07:00,7186,66,0,1,south,65
316,2025-06-29 00:00:00-07:00,6891,31,9,14,west,26
317,2025-06-26 00:00:00-07:00,9059,0,4,14,east,0
318,2025-06-30 00:00:00-07:00,9389,39,13,12,north,40
319,2025-07-03 00:00:00-07:00,1342,49,12,2,east,59
320,2025-05-31 00:00:00-07:00,2024,93,5,12,west,86
321,2025-05-29 00:00:00-07:00,7000,21,9,6,south,24
322,2025-07-02 00:00:00-07:00,7690,95,11,5,north,101
323,2025-05-29 00:00:00-07:00,5883,63,0,5,east,58
324,2025-06-09 00:00:00-07:00,1338,31,5,14,east,22
325,2025-06-26 00:00:00-07:00,2902,63,5,6,north,62
326,2025-05-26 00:00:00-07:00,8065,80,7,4,east,83
327,2025-06-21 00:00:00-07:00,3282,65,1,4,north,62
328,2025-06-12 00:00:00-07:00,834,53,19,13,west,59
329,2025-06-01 00:00:00-07:00,9197,47,6,5,east,48
330,2025-05-20 00:00:00-07:00,8557,92,13,0,north,105
331,2025-06-06 00:00:00-07:00,3590,73,11,3,east,81
332,2025-05-20 00:00:00-07:00,7034,20,12,11,west,21
333,2025-06-22 00:00:00-07:00,1116,32,9,2,east,39
334,2025-06-24 00:00:00-07:00,826,78,8,11,north,75
335,2025-05-26 00:00:00-07:00,3631,6,9,3,north,12
336,2025-05-29 00:00:00-07:00,9565,41,7,14,east,34
337,2025-06-12 00:00:00-07:00,2144,52,10,3,east,59
338,2025-06-25 00:00:00-07:00,6515,45,18,5,north,58
339,2025-07-02 00:00:00-07:00,2101,79,14,14,north,79
340,2025-06-23 00:00:00-07:00,1681,34,8,9,west,33
341,2025-06-18 00:00:00-07:00,4748,33,13,5,west,41
342,2025-05-19 00:00:00-07:00,3870,72,14,11,,75
343,2025-06-18 00:00:00-07:00,8954,81,2,9,south,74
344,2025-05-24 00:00:00-07:00,7489,37,6,1,south,42
345,2025-05-26 00:00:00-07:00,4409,48,11,4,,55
346,2025-06-26 00:00:00-07:00,3695,53,13,1,,65
347,2025-06-09 00:00:00-07:00,6070,21,7,1,west,27
348,2025-05-29 00:00:00-07:00,8452,51,0,3,east,48
349,2025-05-28 00:00:00-07:00,7176,22,3,5,east,20
350,2025-06-03 00:00:00-07:00,8711,1,18,7,south,12
351,2025-06-06 00:00:00-07:00,2732,28,7,14,east,21
352,2025-06-27 00:00:00-07:00,7225,43,6,4,south,45
353,2025-05-19 00:00:00-07:00,7637,37,16,7,south,46
354,2025-05-10 00:00:00-07:00,5588,51,9,9,west,51
355,2025-06-11 00:00:00-07:00,2337,40,11,0,,51
356,2025-05-28 00:00:00-07:00,2148,79,12,1,south,90
357,2025-06-18 00:00:00-07:00,6199,19,14,6,east,27
358,2025-06-12 00:00:00-07:00,5303,47,19,8,north,58
359,2025-07-03 00:00:00-07:00,5195,79,10,5,east,84
360,2025-07-04 00:00:00-07:00,6844,95,3,12,east,86
361,2025-06-03 00:00:00-07:00,9530,85,4,8,north,81
362,2025-05-27 00:00:00-07:00,159,3,16,11,north,8
363,2025-05-27 00:00:00-07:00,3049,11,19,5,west,25
364,2025-05-08 00:00:00-07:00,7632,92,2,6,east,88
365,2025-06-25 00:00:00-07:00,3580,96,11,0,east,107
366,2025-07-04 00:00:00-07:00,6866,57,11,14,south,54
367,2025-06-14 00:00:00-07:00,2365,10,18,11,east,17
368,2025-06-14 00:00:00-07:00,2444,61,0,8,west,53
369,2025-07-06 00:00:00-07:00,8124,65,8,11,west,62
370,2025-06-01 00:00:00-07:00,9926,44,5,8,south,41
371,2025-06-12 00:00:00-07:00,6918,17,18,4,south,31
372,2025-06-11 00:00:00-07:00,7028,1,5,11,east,0
373,2025-06-11 00:00:00-07:00,4681,82,8,7,east,83
374,2025-05-13 00:00:00-07:00,814,86,2,10,south,78
375,2025-05-11 00:00:00-07:00,5850,10,9,3,north,16
376,2025-06-24 00:00:00-07:00,6878,45,14,0,east,59
377,2025-06-01 00:00:00-07:00,9437,83,9,0,north,92
378,2025-05-14 00:00:00-07:00,4028,54,16,2,east,68
379,2025-06-05 00:00:00-07:00,9659,14,4,4,west,14
380,2025-05-17 00:00:00-07:00,2170,29,14,5,north,38
381,2025-06-26 00:00:00-07:00,8189,42,6,2,east,46
382,2025-05-26 00:00:00-07:00,5544,87,10,13,south,84
383,2025-07-03 00:00:00-07:00,2500,12,0,6,east,6
384,2025-07-04 00:00:00-07:00,367,52,19,6,south,65
385,2025-06-15 00:00:00-07:00,680,79,10,3,north,86
386,2025-05-20 00:00:00-07:00,8386,77,8,8,south,77
387,2025-06-28 00:00:00-07:00,3218,46,0,10,east,36
388,2025-06-10 00:00:00-07:00,9676,62,18,3,north,77
389,2025-06-08 00:00:00-07:00,6293,24,7,4,north,27
390,2025-07-06 00:00:00-07:00,5588,15,17,3,east,29
391,2025-05-26 00:00:00-07:00,4834,88,5,14,west,79
392,2025-07-06 00:00:00-07:00,3896,78,19,0,west,97
393,2025-05-09 00:00:00-07:00,5211,66,7,13,,60
394,2025-05-21 00:00:00-07:00,1242,17,1,11,north,7
395,2025-06-17 00:00:00-07:00,6691,8,15,13,north,10
396,2025-05-14 00:00:00-07:00,8608,97,12,2,west,107
397,2025-05-23 00:00:00-07:00,3000,9,2,0,south,11
398,2025-05-29 00:00:00-07:00,6850,43,7,0,south,50
399,2025-05-19 00:00:00-07:00,3371,87,9,1,north,95
400,2025-06-19 00:00:00-07:00,8892,9,13,11,north,11
401,2025-06-11 00:00:00-07:00,8514,74,13,12,north,75
402,2025-06-11 00:00:00-07:00,5920,26,17,4,east,39
403,2025-06-29 00:00:00-07:00,5498,80,4,8,south,76
404,2025-05-12 00:00:00-07:00,5426,45,16,10,west,51
405,2025-07-06 00:00:00-07:00,1371,3,12,6,north,9
406,2025-06-11 00:00:00-07:00,4724,98,11,6,north,103
407,2025-05-09 00:00:00-07:00,6254,39,16,11,south,44
408,2025-06-26 00:00:00-07:00,3444,67,3,2,north,68
409,2025-05-23 00:00:00-07:00,4589,11,12,2,west,21
410,2025-06-09 00:00:00-07:00,4876,53,16,3,east,66
411,2025-06-17 00:00:00-07:00,531,97,18,9,west,106
412,2025-06-12 00:00:00-07:00,2126,99,19,11,south,107
413,2025-07-01 00:00:00-07:00,6585,73,4,6,north,71
414,2025-05-22 00:00:00-07:00,4967,2,14,13,north,3
415,2025-05-15 00:00:00-07:00,4050,65,0,1,north,64
416,2025-05-28 00:00:00-07:00,1758,39,16,12,south,43
417,2025-05-21 00:00:00-07:00,986,84,10,4,South,90
418,2025-05-13 00:00:00-07:00,2891,95,19,13,east,101
419,2025-06-23 00:00:00-07:00,1017,36,8,7,north,37
420,2025-06-23 00:00:00-07:00,4739,71,9,3,east,77
421,2025-06-04 00:00:00-07:00,972,74,18,9,east,83
422,2025-05-09 00:00:00-07:00,6410,47,18,9,west,56
423,2025-06-28 00:00:00-07:00,5001,60,10,2,south,68
424,2025-05-25 00:00:00-07:00,3206,10,4,9,east,5
425,2025-05-15 00:00:00-07:00,1581,15,15,8,east,22
426,2025-06-24 00:00:00-07:00,547,64,9,12,west,61
427,2025-05-08 00:00:00-07:00,7210,39,15,9,south,45
428,2025-05-30 00:00:00-07:00,5000,2,4,1,west,5
429,2025-05-26 00:00:00-07:00,5948,168,4,7,west,21
430,2025-06-29 00:00:00-07:00,6496,5,13,9,west,9
431,2025-05-31 00:00:00-07:00,396,51,6,2,north,55
432,2025-05-20 00:00:00-07:00,2147,45,17,14,west,48
433,2025-07-03 00:00:00-07:00,2164,90,8,7,south,91
434,2025-06-05 00:00:00-07:00,104,21,0,7,north,14
435,2025-06-05 00:00:00-07:00,6156,79,2,6,south,75
436,2025-06-01 00:00:00-07:00,4796,80,4,0,east,84
437,2025-06-18 00:00:00-07:00,3210,68,8,13,east,63
